vid_ID,frame_num,task_var,event,huj_0,huj_1,huj_2
MEiGp8pIuXM,2704,a,COVID test,5,23,7
IV4fpTCAUUM,1647,a,COVID test,32,39,82
ec0gle7LF3A,270,a,COVID test,4,24,16
UM4oYR0bNNU,1012,a,parade,63,70,59
yFHY9bLtDaQ,1296,a,parade,19,13,7
RjyFJj1K9gU,2640,a,parade,6,34,2
LyPzt5BhIEU,3366,a,parade,46,100,5
ygOY3PDSpfM,1584,a,parade,34,57,2
NUoY6aBmKNY,2544,a,parade,95,100,99
wI5APoy7LWU,3264,a,COVID test,4,5,3
ndMrEMyRgQM,756,a,COVID test,3,100,36
FxAD8xt0WiM,2318,a,COVID test,5,16,100
nGbf84wW3-M,4818,a,COVID test,6,26,9
BoHNtTQGnsU,1539,a,COVID test,92,100,100
kZhSPnnXyPo,1744,a,COVID test,86,100,94
DEiapWRTPIU,1818,a,COVID test,96,100,100
kZhSPnnXyPo,3270,a,COVID test,97,100,27
o9IYeMJG6rc,1023,a,COVID test,12,60,22
IV4fpTCAUUM,793,a,COVID test,90,80,3
9tsujxIvqw4,690,a,COVID test,6,10,5
U1mlCwQkNsE,3808,a,COVID test,6,13,25
uf6jIXtHQ8c,748,a,parade,20,64,100
YWcPcm7tgIw,1600,a,parade,90,100,100
lumus1QxrPY,440,a,parade,46,85,13
pOCLZsJLu00,3243,a,parade,79,89,100
WQr71I7FIWc,1190,a,parade,94,100,100
6rQAzqQO83E,720,a,parade,36,50,10
s10ko_TdA_8,1539,a,parade,97,100,100
yETzf3GqEbs,412,a,parade,58,79,3
pLaAp_O1eFo,1428,a,parade,92,100,100
UXEKw2QFUa4,2304,a,parade,5,5,4
NUoY6aBmKNY,3286,a,parade,12,100,3
nUJVF25soJA,1411,a,parade,45,100,2
19yKVDPGNv0,0,a,birthday party,5,51,6
5NyDtpFnEHA,7632,a,birthday party,57,57,100
eYGGZV-JqvI,3604,a,birthday party,4,2,3
FexAG0oxtDw,306,a,birthday party,92,100,100
DeQc9JcUhMA,4536,a,birthday party,93,100,100
ERna-mPqw8M,64,a,birthday party,47,33,19
cNtI9QczpnA,2132,a,birthday party,20,37,3
a4XhrObLzkM,12985,a,birthday party,38,46,3
CTogUTHyO9M,1331,a,birthday party,10,39,100
fgLxUND-dvQ,0,a,birthday party,5,1,9
2DFAQAGZEAs,5376,a,birthday party,6,72,100
gNlCq00gItY,4368,a,birthday party,74,100,100
YWcPcm7tgIw,400,a,parade,3,73,98
2pp33MkzdFI,2350,a,parade,100,77,33
eYWFkMZhvEo,415,a,parade,0,16,0
pOCLZsJLu00,141,a,parade,100,94,99
AAtnZ6mv38k,1420,a,parade,6,17,3
QbC6dLG_dQY,969,a,parade,77,95,99
6rQAzqQO83E,420,a,parade,36,50,20
bM6Dy1O13GU,2555,a,parade,4,2,21
s7wWKYGtO6U,2016,a,parade,92,71,100
Mwq_a5R-iLY,1696,a,parade,42,77,100
pfHGzc3-9B0,810,a,parade,83,52,66
nUJVF25soJA,2656,a,parade,29,100,12
DoS4Y-KGezU,15980,a,birthday party,25,55,8
eqhAaAOrw6I,4128,a,birthday party,4,4,8
4z4FuYhnakQ,1254,a,birthday party,1,6,14
2DFAQAGZEAs,840,a,birthday party,11,6,12
FtnGrI4k2v4,16,a,birthday party,1,48,11
D9EjcfgEaNo,0,a,birthday party,2,1,4
fNu-RiZEhqk,3013,a,parade,96,100,100
Mwq_a5R-iLY,371,a,parade,86,85,100
wjgtyMM2MYs,900,a,parade,30,39,26
eYWFkMZhvEo,1577,a,parade,90,100,100
x9l_yFj3F6U,1309,a,parade,64,80,100
6JIdatdtxC4,539,a,parade,44,0,17
banner57,2624,a,protest,78,100,99
banner45,2244,a,protest,11,52,79
banner50,784,a,protest,85,100,78
banner31,4293,a,protest,80,100,79
banner25,1512,a,protest,91,100,79
banner48,273,a,protest,24,29,3
5A-3of5FoB8,3705,a,wedding,77,100,100
_rIeDARnet0,329,a,wedding,89,100,100
2g4gLqksTcA,4976,a,wedding,85,100,98
ATAYjBsD7_8,1001,a,wedding,90,100,100
9UdFlj9077A,43360,a,wedding,92,100,100
4qpTg5E1Xok,3325,a,wedding,76,89,13
AAtnZ6mv38k,2343,a,parade,24,49,5
W8dq1uH9V5o,59,a,parade,16,24,9
XhkSoXQj9T8,1350,a,parade,95,94,100
WYF7OP9wBiU,2420,a,parade,59,32,100
2pp33MkzdFI,940,a,parade,21,41,0
wjgtyMM2MYs,2700,a,parade,5,1,7
pfHGzc3-9B0,0,a,parade,5,1,19
XwGJJR07cp4,762,a,parade,93,100,97
NOGQ3tzoXE8,1584,a,parade,18,0,18
97tDHvp036s,1711,a,parade,39,18,53
t9uDYv8y93g,708,a,parade,95,84,100
ygOY3PDSpfM,2016,a,parade,44,15,24
banner35,1232,a,protest,99,93,97
banner46,942,a,protest,100,98,75
banner22,992,a,protest,100,97,78
banner29,3304,a,protest,31,56,81
banner12,871,a,protest,100,77,71
banner55,1188,a,protest,5,40,73
banner19,1300,a,protest,50,100,83
banner13,5040,a,protest,55,100,70
banner32,2055,a,protest,39,39,18
banner45,1870,a,protest,12,49,53
banner40,2951,a,protest,75,100,98
banner57,164,a,protest,71,100,100
Hdjm5SEBl8A,3492,a,COVID test,55,87,100
U4c8adLgEd0,945,a,COVID test,5,53,3
ndMrEMyRgQM,840,a,COVID test,92,99,89
RvGDhjkZ_Gg,212,a,COVID test,4,21,5
wI5APoy7LWU,1920,a,COVID test,4,23,3
Iu5Zn5dF50M,1386,a,COVID test,40,33,94
eFTcf7SovK4,1125,a,medical procedure (other than COVID test),69,99,100
ddzVJ4T1qhs,5075,a,medical procedure (other than COVID test),6,1,0
fmPTpwdHqa4,1608,a,medical procedure (other than COVID test),70,94,100
_SnhR6gkBpQ,4344,a,medical procedure (other than COVID test),90,100,100
_E4w1_WoqEc,2072,a,medical procedure (other than COVID test),66,90,100
D12TDsfCzb4,0,a,medical procedure (other than COVID test),6,1,0
0KmTzoa18XQ,1127,a,medical procedure (other than COVID test),5,0,16
f6HtqolhKqo,0,a,medical procedure (other than COVID test),3,1,3
kU3Euj7-xVM,2046,a,medical procedure (other than COVID test),74,100,100
N83_Oe-yJU8,2090,a,medical procedure (other than COVID test),80,100,92
uAotk8E_0tM,2150,a,medical procedure (other than COVID test),5,39,3
f_uM1i53Y-s,3888,a,medical procedure (other than COVID test),4,73,1
5A-3of5FoB8,1755,a,wedding,94,100,99
adpTLWCfu9k,4880,a,wedding,97,100,100
4nAse9fEOww,0,a,wedding,2,1,1
BK_CKC5lw6I,170,a,wedding,96,100,100
g2w7Yu4hMYE,1440,a,wedding,95,100,100
GPRS1QbPtj4,1134,a,wedding,95,100,100
banner65,2380,a,protest,48,100,67
banner15,1190,a,protest,63,100,99
banner40,1816,a,protest,86,100,72
banner67,4736,a,protest,83,100,96
banner23,396,a,protest,31,81,27
banner47,1368,a,protest,73,100,74
banner67,3552,a,protest,77,98,99
banner21,2700,a,protest,79,54,94
banner14,2048,a,protest,87,100,85
banner19,1144,a,protest,87,100,90
banner10,120,a,protest,88,100,86
banner02,380,a,protest,74,100,85
44HWfia55q4,3232,a,wedding,75,82,50
759-RoOmxeo,12796,a,wedding,97,100,100
2um9Pbu5BO4,2890,a,wedding,3,59,2
COiFSitg930,0,a,wedding,2,1,1
EMoFeXZpJyg,4032,a,wedding,95,100,100
Ayq48hGW07M,238,a,wedding,91,100,100
_rIeDARnet0,180,a,wedding,97,100,99
cNoOzS2HZ5k,23600,a,wedding,91,100,100
gpvZPb_lUNU,2840,a,wedding,97,100,69
9tGS3c1Ja6o,4698,a,wedding,12,23,5
Bp8t824h5NE,32912,a,wedding,98,100,100
0n3gVXmbG-I,19815,a,wedding,96,100,100
banner21,300,a,protest,42,0,1
banner48,390,a,protest,31,0,6
banner49,2280,a,protest,84,100,81
banner65,272,a,protest,81,100,97
banner37,14184,a,protest,85,92,8
banner27,9324,a,protest,92,100,100
ddzVJ4T1qhs,435,a,medical procedure (other than COVID test),28,74,97
0KmTzoa18XQ,1610,a,medical procedure (other than COVID test),3,1,1
bGElL___Dz0,512,a,medical procedure (other than COVID test),3,23,2
_n5aQixPJkg,3328,a,medical procedure (other than COVID test),65,83,94
g5r3RI8AG84,3212,a,medical procedure (other than COVID test),4,82,0
tD_2bLASas8,1030,a,medical procedure (other than COVID test),4,93,100
HzediMWGPVA,546,a,birthday party,83,79,100
fzguPxHw7FQ,6930,a,birthday party,90,54,98
fsucWkxGVE4,6156,a,birthday party,71,51,97
eMlspUkrUp4,2214,a,birthday party,89,100,96
gdcWcsQ_l_U,1200,a,birthday party,14,11,99
G7Qs8ewt8B4,400,a,birthday party,5,16,4
banner50,952,a,protest,79,100,100
banner11,602,a,protest,95,100,100
banner66,162,a,protest,84,100,100
banner45,5236,a,protest,30,51,33
banner28,1276,a,protest,76,100,44
banner13,2736,a,protest,60,100,100
ddzVJ4T1qhs,1885,a,medical procedure (other than COVID test),1,85,100
_SnhR6gkBpQ,1448,a,medical procedure (other than COVID test),0,3,11
6x4ZgoAwyQo,780,a,medical procedure (other than COVID test),100,94,100
_VOXeUDJf9I,1450,a,medical procedure (other than COVID test),100,68,84
g5r3RI8AG84,1314,a,medical procedure (other than COVID test),2,3,94
ECJxSZXBBk8,2924,a,medical procedure (other than COVID test),1,5,11
banner36,9464,a,protest,50,100,8
banner01,1134,a,protest,72,100,99
banner53,0,a,protest,5,1,0
banner11,0,a,protest,4,1,1
banner63,1253,a,protest,77,100,90
banner58,1120,a,protest,63,100,79
2g4gLqksTcA,3110,a,wedding,100,98,100
8uZD12Hi0h0,2352,a,wedding,34,7,72
aJOeRUlrmoQ,925,a,wedding,100,89,100
COiFSitg930,14421,a,wedding,100,92,100
Eh_cnVCU7nw,400,a,wedding,99,72,100
46xhFCXBMJs,4956,a,wedding,7,68,69
6rQAzqQO83E,180,a,parade,32,53,45
W8dq1uH9V5o,1239,a,parade,25,0,52
ygOY3PDSpfM,1512,a,parade,6,77,94
EpjD9mgeEfA,1411,a,parade,82,75,100
nUJVF25soJA,83,a,parade,89,100,100
UXEKw2QFUa4,3584,a,parade,4,13,0
IV4fpTCAUUM,549,a,COVID test,88,100,79
"""-lcdWy3VPOs""",1188,a,COVID test,5,17,7
KIShK9Z4lWQ,4620,a,COVID test,3,1,8
Kk3TM-AtRcM,2772,a,COVID test,4,0,17
9WayjX6vCdk,1513,a,COVID test,61,47,99
ChnkhihFLrI,4068,a,COVID test,20,74,76
19yKVDPGNv0,432,a,birthday party,50,65,100
fxzxifJEE_8,385,a,birthday party,79,100,100
D9EjcfgEaNo,5024,a,birthday party,4,15,6
9XG1AtbVPt4,144,a,birthday party,88,100,100
5NyDtpFnEHA,2968,a,birthday party,73,88,2
H0IGc2sVXDg,7501,a,birthday party,46,61,71
pOCLZsJLu00,4089,a,parade,81,100,100
wjgtyMM2MYs,750,a,parade,27,51,19
t9uDYv8y93g,1239,a,parade,93,67,98
Mvz1Eva2TPU,1943,a,parade,87,100,60
NOGQ3tzoXE8,3366,a,parade,40,24,24
6rQAzqQO83E,1800,a,parade,75,83,30
nfV3pWn3rIA,261,a,COVID test,11,53,13
9WayjX6vCdk,445,a,COVID test,62,74,100
nGbf84wW3-M,1606,a,COVID test,84,81,99
CbX_cJxEsG8,1600,a,COVID test,35,68,97
utcuUvRYxfI,2266,a,COVID test,3,71,28
n0-ZA-bUF_o,1498,a,COVID test,5,13,15
Mwq_a5R-iLY,1431,a,parade,2,22,81
yETzf3GqEbs,2472,a,parade,70,42,4
97tDHvp036s,1357,a,parade,1,12,1
ZKmoKvXeyBc,2210,a,parade,25,81,98
yFHY9bLtDaQ,648,a,parade,5,38,2
rIcQ4Knm0Ks,3300,a,parade,96,94,96
de8dLXvgV-I,13392,a,wedding,96,100,100
4nAse9fEOww,23260,a,wedding,97,100,100
gpvZPb_lUNU,2982,a,wedding,97,100,100
ef5c0izPTNg,3857,a,wedding,96,83,4
2um9Pbu5BO4,935,a,wedding,98,100,100
9VP1n9zTk38,199,a,wedding,55,32,42
utcuUvRYxfI,927,a,COVID test,6,26,18
NYDqFK_W9E8,1176,a,COVID test,96,100,100
wI5APoy7LWU,1344,a,COVID test,5,22,2
nfV3pWn3rIA,1392,a,COVID test,6,19,1
aoz22H-Kii8,2852,a,COVID test,51,74,100
Ns4Ml5sPGSo,298,a,COVID test,4,12,1
G7Qs8ewt8B4,0,a,birthday party,3,1,2
19yKVDPGNv0,288,a,birthday party,10,62,2
7d8gP_PZMjc,176,a,birthday party,17,38,4
7wgDnx9iQfY,3675,a,birthday party,89,100,100
16IndzFp8HQ,27390,a,birthday party,88,100,100
b9fnQSJOXDA,4991,a,birthday party,86,100,98
cBr1FeeNtFg,33306,a,birthday party,6,21,3
2q0s_YRLAps,7317,a,birthday party,75,70,99
16IndzFp8HQ,0,a,birthday party,3,1,2
eMlspUkrUp4,2788,a,birthday party,99,100,100
fwpYnUDbusw,1749,a,birthday party,88,100,99
3l0XYe5kjs4,17661,a,birthday party,8,11,5
fzguPxHw7FQ,231,a,birthday party,95,100,61
fwpYnUDbusw,12826,a,birthday party,14,39,2
DeQc9JcUhMA,2754,a,birthday party,95,100,100
gAm5bIhCD2M,428,a,birthday party,44,51,2
9XG1AtbVPt4,99,a,birthday party,81,100,100
6VC9ci9TnHE,3115,a,birthday party,49,61,68
dcINl0zJ_YU,7808,a,wedding,100,98,100
Gyt7uyHxJfo,814,a,wedding,80,97,100
GPRS1QbPtj4,168,a,wedding,100,98,100
46xhFCXBMJs,10738,a,wedding,17,12,38
Eh_cnVCU7nw,560,a,wedding,56,54,59
gfDWSjftuA0,18975,a,wedding,31,97,67
banner37,3940,a,protest,78,100,98
banner15,2142,a,protest,94,100,100
banner43,190,a,protest,52,100,100
banner57,2870,a,protest,70,100,100
banner40,4540,a,protest,78,100,100
banner63,3222,a,protest,69,100,99
Iu5Zn5dF50M,2310,a,COVID test,91,76,100
n0-ZA-bUF_o,107,a,COVID test,9,23,13
Sc3GnZFDstw,3045,a,COVID test,5,76,18
MEiGp8pIuXM,2080,a,COVID test,73,81,16
DSrWjVyxEeg,2100,a,COVID test,94,100,100
nnqZqPuPQ7E,380,a,COVID test,3,5,23
aZFwRcv5--8,46464,a,wedding,97,100,100
Bp8t824h5NE,23232,a,wedding,95,100,100
HGEDhnHIBio,1651,a,wedding,81,82,94
ef5c0izPTNg,2527,a,wedding,85,94,76
dcINl0zJ_YU,8296,a,wedding,93,100,100
de8dLXvgV-I,20832,a,wedding,96,100,100
_SnhR6gkBpQ,6335,a,medical procedure (other than COVID test),4,12,5
Fj5R_U2TaPk,4088,a,medical procedure (other than COVID test),3,9,2
"""-BCDM4i3Cho""",1188,a,medical procedure (other than COVID test),86,100,3
e8UEl4J418M,0,a,medical procedure (other than COVID test),95,100,100
N83_Oe-yJU8,2860,a,medical procedure (other than COVID test),2,97,85
dITPg8jZegc,4140,a,medical procedure (other than COVID test),98,100,100
hDma7N2a3m4,2961,a,COVID test,50,89,100
14mRmD8zHOk,2774,a,COVID test,4,27,78
RvGDhjkZ_Gg,1113,a,COVID test,32,17,9
M59JDLlmFWY,1248,a,COVID test,94,100,100
vl4qPtARm2E,3741,a,COVID test,63,85,34
NYDqFK_W9E8,1848,a,COVID test,6,59,74
HGEDhnHIBio,0,a,wedding,2,1,7
a5_W5FYH5A4,575,a,wedding,55,41,4
759-RoOmxeo,12339,a,wedding,91,100,100
"""-El_iQ0i5Og""",0,a,wedding,4,1,8
aMk0WhTsBIE,512,a,wedding,68,60,100
aZFwRcv5--8,10164,a,wedding,74,61,12
ECJxSZXBBk8,344,a,medical procedure (other than COVID test),5,65,96
"""-BCDM4i3Cho""",2244,a,medical procedure (other than COVID test),3,14,40
DST89EJIPzI,0,a,medical procedure (other than COVID test),70,100,63
9_81OUez2bw,273,a,medical procedure (other than COVID test),64,100,83
bGElL___Dz0,800,a,medical procedure (other than COVID test),8,73,24
ckwUrjccl1U,5088,a,medical procedure (other than COVID test),10,27,49
banner35,2541,a,protest,82,100,100
banner23,2772,a,protest,67,100,76
banner26,969,a,protest,55,100,0
banner46,3925,a,protest,90,100,76
banner49,2166,a,protest,94,100,92
banner12,134,a,protest,88,78,90
banner40,6583,a,protest,73,32,83
banner13,2160,a,protest,6,4,7
banner25,420,a,protest,65,96,98
banner46,4710,a,protest,85,59,81
banner62,2516,a,protest,77,67,61
banner18,2950,a,protest,76,4,75
banner08,1026,a,protest,62,100,100
banner29,472,a,protest,57,51,93
banner30,202,a,protest,76,100,97
banner65,2108,a,protest,80,100,86
banner38,1035,a,protest,81,100,91
banner10,54,a,protest,83,100,94
6JIdatdtxC4,1155,a,parade,46,54,1
s7wWKYGtO6U,224,a,parade,14,97,18
QELVDv9vhIE,759,a,parade,84,100,2
QbC6dLG_dQY,1530,a,parade,34,75,68
nUJVF25soJA,1245,a,parade,63,100,2
pLaAp_O1eFo,2040,a,parade,93,100,99
g5r3RI8AG84,2628,a,medical procedure (other than COVID test),46,60,98
bUsRnkh7yk4,1100,a,medical procedure (other than COVID test),24,68,97
tD_2bLASas8,1442,a,medical procedure (other than COVID test),18,100,79
f_uM1i53Y-s,756,a,medical procedure (other than COVID test),6,50,51
e8UEl4J418M,1775,a,medical procedure (other than COVID test),47,87,90
DWyUaFsyd-g,696,a,medical procedure (other than COVID test),78,81,87
DoS4Y-KGezU,15040,a,birthday party,99,95,100
46aBbmgwhi8,2576,a,birthday party,48,64,100
_amwPjAcoC8,2947,a,birthday party,93,23,100
HzediMWGPVA,756,a,birthday party,19,77,5
3l0XYe5kjs4,21025,a,birthday party,1,26,9
H0IGc2sVXDg,17887,a,birthday party,0,13,11
2pp33MkzdFI,1974,a,parade,48,38,5
yFHY9bLtDaQ,1944,a,parade,47,84,55
XwGJJR07cp4,1270,a,parade,91,100,91
zMqfwJmtRKs,3630,a,parade,10,52,15
yKOfh_rc7HY,1536,a,parade,59,100,16
t9uDYv8y93g,531,a,parade,96,79,97
f_uM1i53Y-s,1080,a,medical procedure (other than COVID test),60,40,95
PeQhZpfuEx0,1802,a,medical procedure (other than COVID test),28,50,63
_E4w1_WoqEc,3996,a,medical procedure (other than COVID test),4,18,0
Dz5ZVxWit3w,2697,a,medical procedure (other than COVID test),67,72,75
tD_2bLASas8,0,a,medical procedure (other than COVID test),4,1,3
34W38Agu0jg,693,a,medical procedure (other than COVID test),4,2,7
cNoOzS2HZ5k,11800,a,wedding,93,100,100
Eh_cnVCU7nw,880,a,wedding,61,76,9
0n3gVXmbG-I,13210,a,wedding,85,100,100
7NSDVV0g-Eo,305,a,wedding,84,72,100
"""-El_iQ0i5Og""",3936,a,wedding,70,65,40
AxlDl0L8zt8,255,a,wedding,47,25,10
HgxExb4Ig5A,1424,a,wedding,60,66,100
8uZD12Hi0h0,2800,a,wedding,100,100,100
2um9Pbu5BO4,1360,a,wedding,100,100,100
dWZ9Iv7tPKk,0,a,wedding,4,1,1
cNoOzS2HZ5k,38940,a,wedding,57,82,100
dI6S2OZBY4E,7630,a,wedding,47,75,0
aZFwRcv5--8,0,a,wedding,1,4,1
gpvZPb_lUNU,4686,a,wedding,0,81,2
2g4gLqksTcA,16172,a,wedding,100,96,100
ATAYjBsD7_8,77,a,wedding,3,3,2
31U5E5xbm9Y,14025,a,wedding,98,96,100
byhX5cDBYxA,1225,a,wedding,100,95,100
banner66,558,a,protest,70,100,100
banner32,9453,a,protest,63,100,100
banner33,1524,a,protest,86,100,100
banner08,874,a,protest,68,57,91
banner12,2278,a,protest,5,16,8
banner63,4833,a,protest,73,100,100
3rVj5ziqKUg,4068,a,medical procedure (other than COVID test),4,17,36
dOkNrT6qqSU,815,a,medical procedure (other than COVID test),73,81,96
0mzkqSEk-tw,3937,a,medical procedure (other than COVID test),94,95,51
uAotk8E_0tM,2580,a,medical procedure (other than COVID test),79,94,100
cIhak7--M8Q,2080,a,medical procedure (other than COVID test),4,31,83
cIuGwaBFX8I,172,a,medical procedure (other than COVID test),6,90,24
aMk0WhTsBIE,1408,a,wedding,37,65,9
a5_W5FYH5A4,230,a,wedding,4,14,27
"""-El_iQ0i5Og""",2952,a,wedding,28,63,13
dcINl0zJ_YU,4636,a,wedding,93,100,100
ATAYjBsD7_8,2079,a,wedding,63,82,90
Eh_cnVCU7nw,80,a,wedding,3,19,3
eVBD7TQLS-E,0,a,medical procedure (other than COVID test),4,1,3
yxiLs_lXrV4,6003,a,medical procedure (other than COVID test),90,100,100
4mPI1ILo17w,1218,a,medical procedure (other than COVID test),4,45,7
4gRjBTFH4mM,1155,a,medical procedure (other than COVID test),20,100,94
cIhak7--M8Q,1300,a,medical procedure (other than COVID test),95,27,100
5TahRMklod8,1608,a,medical procedure (other than COVID test),91,100,99
4mPI1ILo17w,1044,a,medical procedure (other than COVID test),6,54,42
N83_Oe-yJU8,880,a,medical procedure (other than COVID test),4,51,1
_SnhR6gkBpQ,3801,a,medical procedure (other than COVID test),4,22,5
cIuGwaBFX8I,172,a,medical procedure (other than COVID test),6,62,18
6P7zkVLbxWc,928,a,medical procedure (other than COVID test),86,100,100
yxiLs_lXrV4,0,a,medical procedure (other than COVID test),6,21,3
N83_Oe-yJU8,3740,a,medical procedure (other than COVID test),3,5,14
kU3Euj7-xVM,3255,a,medical procedure (other than COVID test),1,4,2
_n5aQixPJkg,1352,a,medical procedure (other than COVID test),3,3,10
6P7zkVLbxWc,1508,a,medical procedure (other than COVID test),28,45,69
tD_2bLASas8,2266,a,medical procedure (other than COVID test),2,9,100
D12TDsfCzb4,4975,a,medical procedure (other than COVID test),2,46,64
9tGS3c1Ja6o,5508,a,wedding,95,29,100
31U5E5xbm9Y,0,a,wedding,2,1,2
COiFSitg930,437,a,wedding,73,49,9
9VP1n9zTk38,796,a,wedding,3,5,3
Gyt7uyHxJfo,539,a,wedding,22,66,100
0n3gVXmbG-I,0,a,wedding,2,1,1
759-RoOmxeo,2742,a,wedding,78,77,98
2g4gLqksTcA,9952,a,wedding,92,100,100
aOOJepvncBE,20196,a,wedding,96,100,100
Ayq48hGW07M,170,a,wedding,94,94,42
Eh_cnVCU7nw,1120,a,wedding,71,92,83
_rIeDARnet0,826,a,wedding,88,84,100
4gRjBTFH4mM,350,a,medical procedure (other than COVID test),85,99,100
0KmTzoa18XQ,3381,a,medical procedure (other than COVID test),3,28,20
CtZpSbLwLUM,1000,a,medical procedure (other than COVID test),84,33,97
6x4ZgoAwyQo,4290,a,medical procedure (other than COVID test),8,70,41
eVBD7TQLS-E,3720,a,medical procedure (other than COVID test),63,100,69
D12TDsfCzb4,6368,a,medical procedure (other than COVID test),41,52,100
bGElL___Dz0,352,a,medical procedure (other than COVID test),7,14,9
"""-BCDM4i3Cho""",1848,a,medical procedure (other than COVID test),92,100,100
yxiLs_lXrV4,6786,a,medical procedure (other than COVID test),66,11,3
PAfdeTlwa7s,1840,a,medical procedure (other than COVID test),3,53,5
dOkNrT6qqSU,1015,a,medical procedure (other than COVID test),5,14,2
_n5aQixPJkg,0,a,medical procedure (other than COVID test),5,1,0
Dz5ZVxWit3w,279,a,medical procedure (other than COVID test),90,94,100
eFTcf7SovK4,675,a,medical procedure (other than COVID test),3,100,11
9_81OUez2bw,143,a,medical procedure (other than COVID test),20,74,97
fmPTpwdHqa4,4020,a,medical procedure (other than COVID test),68,100,100
tD_2bLASas8,1751,a,medical procedure (other than COVID test),4,67,9
3rVj5ziqKUg,0,a,medical procedure (other than COVID test),3,0,6
yKOfh_rc7HY,3360,a,parade,4,1,5
AAtnZ6mv38k,923,a,parade,22,0,4
Mvz1Eva2TPU,1072,a,parade,95,100,100
MFE_P_eVKZI,426,a,parade,91,82,99
QbC6dLG_dQY,102,a,parade,93,78,100
bM6Dy1O13GU,1825,a,parade,61,7,12
